product_id,product_name,category,brand,price
P1000,Product 1,Home,Brand_A,551.36
P1001,Product 2,Home,Brand_B,665.69
P1002,Product 3,Home,Brand_A,179.98
P1003,Product 4,Clothing,Brand_B,636.72
P1004,Product 5,Home,Brand_A,318.75
P1005,Product 6,Clothing,Brand_C,727.31
P1006,Product 7,Clothing,Brand_C,404.95
P1007,Product 8,Clothing,Brand_B,969.66
P1008,Product 9,Home,Brand_C,967.72
P1009,Product 10,Electronics,Brand_A,729.44
P1010,Product 11,Books,Brand_B,264.64
P1011,Product 12,Clothing,Brand_B,229.57
P1012,Product 13,Clothing,Brand_C,597.12
P1013,Product 14,Electronics,Brand_B,274.85
P1014,Product 15,Clothing,Brand_A,535.76
P1015,Product 16,Home,Brand_C,787.44
P1016,Product 17,Books,Brand_C,176.38
P1017,Product 18,Electronics,Brand_C,410.36
P1018,Product 19,Home,Brand_B,476.86
P1019,Product 20,Home,Brand_B,869.43
P1020,Product 21,Electronics,Brand_C,926.45
P1021,Product 22,Books,Brand_A,883.16
P1022,Product 23,Electronics,Brand_A,677.44
P1023,Product 24,Electronics,Brand_C,950.67
P1024,Product 25,Electronics,Brand_B,521.28
P1025,Product 26,Home,Brand_B,580.75
P1026,Product 27,Books,Brand_B,342.97
P1027,Product 28,Clothing,Brand_B,353.85
P1028,Product 29,Home,Brand_B,29.82
P1029,Product 30,Clothing,Brand_B,507.78
P1030,Product 31,Electronics,Brand_C,872.33
P1031,Product 32,Clothing,Brand_B,16.24
P1032,Product 33,Home,Brand_A,81.34
P1033,Product 34,Books,Brand_B,172.57
P1034,Product 35,Clothing,Brand_B,772.63
P1035,Product 36,Electronics,Brand_B,737.83
P1036,Product 37,Home,Brand_C,972.16
P1037,Product 38,Home,Brand_B,471.81
P1038,Product 39,Electronics,Brand_C,83.64
P1039,Product 40,Books,Brand_B,652.33
P1040,Product 41,Home,Brand_C,761.01
P1041,Product 42,Books,Brand_A,145.74
P1042,Product 43,Clothing,Brand_C,402.62
P1043,Product 44,Electronics,Brand_C,232.74
P1044,Product 45,Home,Brand_C,67.38
P1045,Product 46,Electronics,Brand_A,401.93
P1046,Product 47,Electronics,Brand_C,74.28
P1047,Product 48,Clothing,Brand_C,233.63
P1048,Product 49,Home,Brand_B,64.08
P1049,Product 50,Home,Brand_B,673.58
P1050,Product 51,Books,Brand_B,304.76
P1051,Product 52,Electronics,Brand_C,109.71
P1052,Product 53,Home,Brand_C,81.19
P1053,Product 54,Electronics,Brand_C,881.64
P1054,Product 55,Home,Brand_B,756.7
P1055,Product 56,Books,Brand_A,818.44
P1056,Product 57,Clothing,Brand_B,982.32
P1057,Product 58,Electronics,Brand_A,112.56
P1058,Product 59,Clothing,Brand_C,108.05
P1059,Product 60,Electronics,Brand_C,800.84
P1060,Product 61,Electronics,Brand_B,786.73
P1061,Product 62,Books,Brand_A,19.34
P1062,Product 63,Books,Brand_C,781.28
P1063,Product 64,Home,Brand_A,732.1
P1064,Product 65,Electronics,Brand_C,633.83
P1065,Product 66,Clothing,Brand_B,486.1
P1066,Product 67,Electronics,Brand_B,165.07
P1067,Product 68,Electronics,Brand_A,18.13
P1068,Product 69,Home,Brand_C,457.93
P1069,Product 70,Electronics,Brand_B,497.37
P1070,Product 71,Clothing,Brand_A,395.69
P1071,Product 72,Electronics,Brand_C,470.02
P1072,Product 73,Home,Brand_C,716.15
P1073,Product 74,Electronics,Brand_C,64.75
P1074,Product 75,Home,Brand_A,361.24
P1075,Product 76,Clothing,Brand_B,804.78
P1076,Product 77,Books,Brand_B,837.35
P1077,Product 78,Home,Brand_A,245.37
P1078,Product 79,Books,Brand_B,360.45
P1079,Product 80,Books,Brand_C,858.32
P1080,Product 81,Clothing,Brand_C,855.23
P1081,Product 82,Clothing,Brand_A,302.94
P1082,Product 83,Home,Brand_B,155.58
P1083,Product 84,Books,Brand_A,706.95
P1084,Product 85,Clothing,Brand_B,112.77
P1085,Product 86,Clothing,Brand_C,43.39
P1086,Product 87,Home,Brand_C,999.41
P1087,Product 88,Home,Brand_A,44.53
P1088,Product 89,Books,Brand_C,345.01
P1089,Product 90,Electronics,Brand_B,915.91
P1090,Product 91,Clothing,Brand_A,621.06
P1091,Product 92,Clothing,Brand_A,293.42
P1092,Product 93,Electronics,Brand_B,740.42
P1093,Product 94,Clothing,Brand_C,835.71
P1094,Product 95,Books,Brand_A,321.13
P1095,Product 96,Electronics,Brand_B,497.64
P1096,Product 97,Electronics,Brand_B,700.4
P1097,Product 98,Clothing,Brand_A,645.05
P1098,Product 99,Home,Brand_B,647.48
P1099,Product 100,Home,Brand_A,978.07
